Team,Date,League_ID,GF,GA,SOT,Corn,avg_GF,avg_GA,avg_SOT,avg_Corn
Alaves,2025-12-06,PD,1,0,3.0,5.0,0.6,1.4,3.0,3.0
Angers,2025-12-07,FL1,1,0,4.0,1.0,1.2,1.0,3.8,2.6
Arsenal,2025-12-06,PL,1,2,9.0,3.0,2.2,0.8,6.8,3.8
Aston Villa,2025-12-06,PL,2,1,6.0,3.0,2.2,1.2,6.0,5.2
Atalanta,2025-12-06,SA,1,3,5.0,5.0,0.8,1.6,3.4,4.8
Ath Bilbao,2025-12-06,PD,1,0,3.0,5.0,1.0,2.0,4.2,4.6
Ath Madrid,2025-12-06,PD,0,1,3.0,6.0,2.0,0.8,6.4,9.6
Augsburg,2025-12-06,BL1,2,0,6.0,5.0,0.6,2.6,3.8,3.2
Auxerre,2025-12-07,FL1,3,1,7.0,5.0,0.2,1.4,3.6,3.8
Barcelona,2025-12-06,PD,5,3,8.0,7.0,3.4,1.0,6.6,5.2
Bayern Munich,2025-12-06,BL1,5,0,11.0,4.0,3.4,1.0,6.2,7.2
Betis,2025-12-06,PD,3,5,5.0,7.0,1.4,0.8,5.2,4.0
Bochum,2025-05-17,BL1,2,0,6.0,4.0,0.6,1.6,4.6,6.8
Bologna,2025-12-07,SA,1,1,6.0,3.0,1.8,0.8,4.8,5.6
Bournemouth,2025-12-06,PL,0,0,5.0,5.0,1.0,2.6,5.4,5.2
Brentford,2025-12-06,PL,0,2,1.0,6.0,1.4,1.6,3.6,5.6
Brest,2025-12-05,FL1,1,0,4.0,2.0,1.0,1.4,3.6,4.2
Brighton,2025-12-07,PL,1,1,4.0,10.0,2.0,1.0,5.6,5.2
Burnley,2025-12-06,PL,1,2,3.0,9.0,0.6,2.2,3.0,3.0
Cagliari,2025-12-07,SA,1,0,8.0,4.0,1.0,1.8,3.2,4.6
Celta,2025-12-07,PD,2,0,5.0,1.0,1.6,1.6,4.4,2.8
Chelsea,2025-12-06,PL,0,0,4.0,0.0,1.6,0.8,5.6,5.8
Como,2025-12-06,SA,0,4,3.0,4.0,2.0,0.4,6.6,4.2
Cremonese,2025-12-07,SA,2,0,4.0,5.0,1.4,1.4,3.6,4.2
Crystal Palace,2025-12-07,PL,2,1,5.0,4.0,1.2,0.4,2.8,4.4
Dortmund,2025-12-07,BL1,2,0,4.0,7.0,1.6,1.0,4.2,6.2
Ein Frankfurt,2025-12-06,BL1,0,6,2.0,0.0,1.8,1.0,4.6,6.0
Elche,2025-12-07,PD,3,0,6.0,2.0,0.8,1.6,4.0,2.6
Empoli,2025-05-25,SA,1,2,5.0,13.0,1.6,1.4,3.8,4.0
Espanol,2025-12-07,PD,1,0,2.0,6.0,1.0,1.0,3.8,4.2
Everton,2025-12-06,PL,3,0,5.0,6.0,1.2,1.0,2.6,4.6
FC Koln,2025-12-06,BL1,1,1,8.0,5.0,1.8,2.0,4.4,2.6
Fiorentina,2025-12-06,SA,1,3,1.0,1.0,0.6,1.8,2.8,5.6
Freiburg,2025-12-06,BL1,1,2,2.0,6.0,1.6,1.8,4.6,5.6
Fulham,2025-12-07,PL,1,2,4.0,6.0,2.0,1.6,5.0,6.2
Genoa,2025-12-08,SA,2,1,6.0,2.0,1.8,1.8,4.8,4.2
Getafe,2025-12-06,PD,0,2,0.0,3.0,0.8,0.6,3.4,7.2
Girona,2025-12-07,PD,0,3,4.0,2.0,1.4,1.4,4.0,4.4
Hamburg,2025-12-07,BL1,3,2,6.0,5.0,0.8,1.6,4.4,4.6
Heidenheim,2025-12-06,BL1,2,1,3.0,8.0,0.8,2.8,2.2,3.4
Hoffenheim,2025-12-07,BL1,0,2,3.0,5.0,2.6,1.0,4.6,5.0
Holstein Kiel,2025-05-17,BL1,0,3,2.0,1.0,2.0,1.8,4.8,3.8
Inter,2025-12-06,SA,4,0,7.0,7.0,1.8,0.4,5.2,6.8
Ipswich,2025-05-25,PL,1,3,4.0,4.0,0.4,2.4,2.2,2.4
Juventus,2025-12-07,SA,1,2,2.0,0.0,1.6,0.8,6.4,4.2
Las Palmas,2025-05-24,PD,0,2,4.0,6.0,0.4,1.4,2.6,6.2
Lazio,2025-12-07,SA,1,1,9.0,7.0,0.8,0.6,5.4,4.2
Le Havre,2025-12-07,FL1,0,0,2.0,7.0,0.4,1.0,4.2,5.0
Lecce,2025-12-07,SA,0,2,1.0,5.0,0.6,0.8,3.0,4.4
Leeds,2025-12-06,PL,3,3,5.0,5.0,1.4,2.4,3.8,3.8
Leganes,2025-05-24,PD,3,0,6.0,3.0,1.4,1.6,3.8,3.4
Leicester,2025-05-25,PL,0,2,0.0,1.0,1.2,1.2,3.0,3.2
Lens,2025-12-06,FL1,2,1,6.0,12.0,2.0,0.8,6.2,5.4
Levante,2025-12-08,PD,0,2,5.0,3.0,0.6,1.8,3.2,3.2
Leverkusen,2025-12-06,BL1,0,2,2.0,7.0,2.4,1.2,4.4,5.6
Lille,2025-12-05,FL1,1,0,2.0,2.0,1.2,1.2,4.8,7.4
Liverpool,2025-12-06,PL,3,3,7.0,4.0,1.0,1.4,3.6,5.0
Lorient,2025-12-07,FL1,1,0,6.0,1.0,1.2,1.4,3.0,3.2
Lyon,2025-12-07,FL1,0,1,4.0,7.0,1.6,1.2,4.6,5.4
M'gladbach,2025-12-05,BL1,1,0,5.0,6.0,2.0,0.8,4.0,2.8
Mainz,2025-12-05,BL1,0,1,2.0,8.0,0.6,1.8,2.2,3.8
Mallorca,2025-12-05,PD,0,0,6.0,5.0,1.0,1.6,3.2,2.8
Man City,2025-12-06,PL,3,0,6.0,6.0,3.0,1.8,6.2,7.2
Man United,2025-12-08,PL,4,1,10.0,9.0,1.4,1.4,5.0,5.4
Marseille,2025-12-05,FL1,0,1,2.0,5.0,2.6,1.0,6.2,5.0
Metz,2025-12-07,FL1,1,3,3.0,3.0,1.6,1.0,4.8,4.2
Milan,2025-12-08,SA,3,2,6.0,4.0,1.2,0.6,4.2,3.2
Monaco,2025-12-05,FL1,0,1,2.0,3.0,1.6,2.4,4.8,4.2
Montpellier,2025-05-17,FL1,0,3,0.0,2.0,0.4,2.4,1.8,3.8
Monza,2025-05-24,SA,0,2,2.0,6.0,0.6,2.2,3.2,3.2
Nantes,2025-12-06,FL1,1,2,4.0,1.0,1.0,2.4,2.8,2.6
Napoli,2025-12-07,SA,2,1,4.0,9.0,1.0,0.6,4.6,4.0
Newcastle,2025-12-06,PL,2,1,7.0,9.0,2.0,2.0,5.0,6.2
Nice,2025-12-07,FL1,0,1,3.0,4.0,1.0,2.2,3.8,4.2
Nott'm Forest,2025-12-06,PL,0,3,3.0,3.0,1.8,1.0,4.4,7.6
Osasuna,2025-12-08,PD,2,0,6.0,3.0,1.0,1.8,4.2,5.0
Oviedo,2025-12-05,PD,0,0,3.0,8.0,0.6,1.2,2.6,3.8
Paris FC,2025-12-07,FL1,0,0,2.0,2.0,1.4,1.8,2.6,4.4
Paris SG,2025-12-06,FL1,5,0,9.0,8.0,1.6,0.8,7.0,6.8
Parma,2025-12-08,SA,1,0,2.0,0.0,1.2,2.0,3.8,3.2
Pisa,2025-12-08,SA,0,1,2.0,6.0,1.0,1.2,3.2,3.0
RB Leipzig,2025-12-06,BL1,6,0,7.0,4.0,2.4,0.8,7.8,6.4
Real Madrid,2025-12-07,PD,0,2,7.0,8.0,2.0,0.6,7.0,7.0
Reims,2025-05-17,FL1,1,2,2.0,3.0,0.6,0.6,2.6,2.8
Rennes,2025-12-06,FL1,0,5,2.0,6.0,2.4,0.8,5.0,6.0
Roma,2025-12-07,SA,0,1,2.0,1.0,1.4,0.8,4.8,5.8
Sassuolo,2025-12-06,SA,3,1,5.0,7.0,1.6,1.4,4.8,4.0
Sevilla,2025-12-07,PD,1,1,1.0,2.0,0.6,1.8,3.2,7.4
Sociedad,2025-12-06,PD,0,1,1.0,8.0,2.2,1.6,5.8,4.2
Southampton,2025-05-25,PL,1,2,2.0,5.0,0.4,1.4,2.2,3.6
St Etienne,2025-05-17,FL1,2,3,7.0,7.0,1.8,2.0,4.2,6.8
St Pauli,2025-12-06,BL1,1,1,1.0,4.0,0.4,2.4,2.2,4.8
Strasbourg,2025-12-06,FL1,0,1,0.0,2.0,1.4,1.4,4.0,3.2
Stuttgart,2025-12-06,BL1,0,5,1.0,3.0,2.0,2.2,5.4,5.2
Sunderland,2025-12-06,PL,0,3,1.0,5.0,1.4,1.4,3.8,3.8
Torino,2025-12-08,SA,2,3,4.0,2.0,0.8,1.8,3.2,3.6
Tottenham,2025-12-06,PL,2,0,7.0,7.0,1.2,2.2,2.2,5.6
Toulouse,2025-12-06,FL1,1,0,3.0,1.0,1.0,1.2,3.6,6.2
Udinese,2025-12-08,SA,1,2,6.0,6.0,0.8,1.6,3.8,5.8
Union Berlin,2025-12-06,BL1,1,3,6.0,11.0,0.8,1.0,2.6,4.8
Valencia,2025-12-07,PD,1,1,3.0,2.0,0.6,1.6,2.6,5.4
Valladolid,2025-05-24,PD,0,3,2.0,4.0,0.6,2.2,4.2,5.8
Vallecano,2025-12-07,PD,0,1,2.0,2.0,0.4,1.0,4.0,6.6
Venezia,2025-05-25,SA,2,3,5.0,6.0,1.0,1.8,3.4,4.4
Verona,2025-12-06,SA,3,1,7.0,5.0,0.8,1.8,4.0,3.2
Villarreal,2025-12-06,PD,2,0,5.0,5.0,2.6,0.6,5.4,3.0
Werder Bremen,2025-12-07,BL1,2,3,3.0,3.0,1.0,1.0,4.6,5.8
West Ham,2025-12-07,PL,1,1,5.0,6.0,1.8,1.6,4.0,5.8
Wolfsburg,2025-12-06,BL1,3,1,3.0,0.0,1.2,1.8,5.0,3.2
Wolves,2025-12-08,PL,1,4,2.0,1.0,0.0,2.0,1.6,1.8
